"Date","Open","High","Low","Close","Volume","Adj_Close"
"2015-04-29","48.72","49.31","48.5","49.06","47273100","49.06"
"2015-04-28","47.78","49.21","47.7","49.16","59798200","49.16"
"2015-04-27","47.23","48.13","47.22","48.03","58663400","48.03"
"2015-04-24","45.66","48.14","45.65","47.87","127995200","47.87"
"2015-04-23","42.89","43.61","42.8","43.34","45029600","43.34"
"2015-04-22","42.67","43.13","42.55","42.99","24856600","42.99"
"2015-04-21","43","43.15","42.53","42.64","25932200","42.64"
"2015-04-20","41.73","43.17","41.68","42.91","45738800","42.91"
"2015-04-17","41.67","41.74","41.16","41.62","41783500","41.62"
"2015-04-16","41.95","42.34","41.82","42.16","22394200","42.16"
"2015-04-15","41.76","42.46","41.68","42.26","27122700","42.26"
"2015-04-14","41.8","42.03","41.39","41.65","24244400","41.65"
"2015-04-13","41.4","42.06","41.39","41.76","30276700","41.76"
"2015-04-10","41.63","41.95","41.41","41.72","28022000","41.72"
"2015-04-09","41.25","41.62","41.25","41.48","25723900","41.48"
"2015-04-08","41.46","41.69","41.04","41.42","24753400","41.42"
"2015-04-07","41.61","41.91","41.31","41.53","28809400","41.53"
"2015-04-06","40.34","41.78","40.18","41.55","39223700","41.55"
"2015-04-02","40.66","40.74","40.12","40.29","37487500","40.29"
"2015-04-01","40.6","40.76","40.31","40.72","36865300","40.72"
"2015-03-31","40.78","41.03","40.54","40.66","34887200","40.66"
"2015-03-30","41.1","41.54","40.91","40.96","35049700","40.96"
"2015-03-27","41.12","41.43","40.83","40.97","34401400","40.97"
"2015-03-26","41.22","41.61","40.92","41.21","37495600","41.21"
"2015-03-25","42.92","42.93","41.44","41.46","43469900","41.46"
"2015-03-24","42.78","43.17","42.75","42.9","25513300","42.9"
"2015-03-23","42.88","43.13","42.78","42.86","26246100","42.86"
"2015-03-20","42.56","42.98","42.49","42.88","71904500","42.88"
"2015-03-19","42.26","42.59","42.22","42.29","33879100","42.29"
"2015-03-18","41.43","42.83","41.33","42.5","44194800","42.5"
"2015-03-17","41.37","41.83","41.15","41.7","31673400","41.7"
"2015-03-16","41.47","41.64","41.28","41.56","35273500","41.56"
"2015-03-13","40.7","41.47","40.61","41.38","58007700","41.38"
"2015-03-12","41.33","41.65","40.86","41.02","59992500","41.02"
"2015-03-11","42.31","42.37","41.84","41.98","32215300","41.98"
"2015-03-10","42.35","42.71","42.03","42.03","39159700","42.03"
"2015-03-09","42.19","43.13","42.19","42.85","32108000","42.85"
"2015-03-06","43","43.11","42.15","42.36","36248800","42.36"
"2015-03-05","43.07","43.24","42.82","43.11","23193500","43.11"
"2015-03-04","43.01","43.21","42.88","43.06","25748700","43.06"
"2015-03-03","43.56","43.83","43.09","43.28","31748600","43.28"
"2015-03-02","43.67","44.19","43.55","43.88","31924000","43.88"
"2015-02-27","44.13","44.2","43.66","43.85","33807700","43.85"
"2015-02-26","43.99","44.23","43.89","44.06","28957300","44.06"
"2015-02-25","43.95","44.09","43.8","43.99","29759800","43.99"
"2015-02-24","44.15","44.3","43.92","44.09","25271700","44.09"
"2015-02-23","43.7","44.19","43.65","44.15","32518800","44.15"
"2015-02-20","43.51","43.88","43.29","43.86","29721100","43.86"
"2015-02-19","43.18","43.53","43.05","43.5","27603400","43.5"
"2015-02-18","43.63","43.7","43.39","43.53","27111700","43.53"
"2015-02-17","43.97","44","43.19","43.58","33695700","43.58"
"2015-02-13","43.38","43.87","43.15","43.87","40264900","43.56"
"2015-02-12","42.66","43.09","42.51","43.09","33268800","42.78551"
"2015-02-11","42.65","42.65","42.21","42.38","38262500","42.08053"
"2015-02-10","42.74","42.77","42.18","42.6","29670700","42.29897"
"2015-02-09","42.24","42.74","42.21","42.36","31381100","42.06067"
"2015-02-06","42.68","42.79","42.15","42.41","34311700","42.11032"
"2015-02-05","42.22","42.64","41.86","42.45","36548200","42.15004"
"2015-02-04","41.94","42.21","41.36","41.84","41614800","41.54435"
"2015-02-03","41.63","41.93","41.05","41.6","52082400","41.30604"
"2015-02-02","40.59","41.37","40.23","41.28","50352500","40.9883"
"2015-01-30","41.55","41.58","40.35","40.4","78004900","40.11452"
"2015-01-29","40.93","42.12","40.79","42.01","63585300","41.71314"
"2015-01-28","42.74","42.79","41.16","41.19","84507100","40.89894"
"2015-01-27","42.95","43.2","42.11","42.66","169164000","42.35855"
"2015-01-26","47","47.13","46.24","47.01","42525500","46.67781"
"2015-01-23","47.36","47.39","46.8","47.18","26211600","46.84661"
"2015-01-22","46.38","47.14","46.08","47.13","35898000","46.79697"
"2015-01-21","45.94","46.14","45.48","45.92","39081100","45.59551"
"2015-01-20","46.3","46.65","45.57","46.39","36161900","46.06219"
"2015-01-16","45.31","46.28","45.17","46.24","35695300","45.91325"
"2015-01-15","46.22","46.38","45.41","45.48","32742300","45.15862"
"2015-01-14","45.96","46.24","45.62","45.96","29719600","45.63523"
"2015-01-13","46.97","47.91","46.06","46.36","35270600","46.03241"
"2015-01-12","47.42","47.54","46.36","46.6","23651900","46.27071"
"2015-01-09","47.61","47.82","46.9","47.19","23942800","46.85654"
"2015-01-08","46.75","47.75","46.72","47.59","29645200","47.25372"
"2015-01-07","45.98","46.46","45.49","46.23","29114100","45.90332"
"2015-01-06","46.38","46.75","45.54","45.65","36447900","45.32742"
"2015-01-05","46.37","46.73","46.25","46.33","39673900","46.00262"
"2015-01-02","46.66","47.42","46.54","46.76","27913900","46.42958"
"2014-12-31","46.73","47.44","46.45","46.45","21552500","46.12177"
"2014-12-30","47.44","47.62","46.84","47.02","16384700","46.68774"
"2014-12-29","47.7","47.78","47.26","47.45","14439500","47.1147"
"2014-12-26","48.41","48.41","47.82","47.88","13197800","47.54167"
"2014-12-24","48.64","48.64","48.08","48.14","11437800","47.79983"
"2014-12-23","48.37","48.8","48.13","48.45","23648100","48.10764"
"2014-12-22","47.78","48.12","47.71","47.98","26566000","47.64096"
"2014-12-19","47.63","48.1","47.17","47.66","64551200","47.32322"
"2014-12-18","46.58","47.52","46.34","47.52","40105600","47.18421"
"2014-12-17","45.05","45.95","44.9","45.74","34970900","45.41679"
"2014-12-16","45.9","46.34","45.13","45.16","47801400","44.84089"
