Date,Open,High,Low,Close,Volume,Adj Close
2015-04-28,0.0057,0.0062,0.0057,0.0062,9500,0.0062
2015-04-27,0.005,0.009,0.005,0.009,158000,0.009
2015-04-24,0.005,0.0051,0.005,0.0051,1200,0.0051
2015-04-23,0.006,0.0069,0.006,0.006,55400,0.006
2015-04-22,0.00635,0.0065,0.0061,0.0061,64100,0.0061
2015-04-21,0.005,0.007,0.005,0.0064,102600,0.0064
2015-04-20,0.0061,0.007,0.0061,0.0064,86800,0.0064
2015-04-17,0.0061,0.008,0.0061,0.007,80000,0.007
2015-04-16,0.0061,0.0061,0.006,0.006,5300,0.006
2015-04-15,0.0061,0.0061,0.0061,0.0061,9900,0.0061
2015-04-14,0.0061,0.0061,0.0061,0.0061,300,0.0061
2015-04-13,0.0062,0.0084,0.0061,0.0061,145700,0.0061
2015-04-10,0.0057,0.0063,0.0057,0.0063,1900,0.0063
2015-04-09,0.0061,0.0086,0.0061,0.0061,20400,0.0061
2015-04-08,0.005,0.0085,0.005,0.0061,132700,0.0061
2015-04-07,0.005,0.0061,0.005,0.0061,6300,0.0061
2015-04-06,0.0061,0.007,0.0061,0.0061,57600,0.0061
2015-04-03,0.0061,0.0061,0.0061,0.0061,000,0.0061
2015-04-02,0.0061,0.0085,0.0061,0.0061,19200,0.0061
2015-04-01,0.0057,0.0086,0.005,0.0086,75800,0.0086
2015-03-31,0.0062,0.0086,0.0062,0.0066,120600,0.0066
2015-03-30,0.006,0.0061,0.0061,0.0061,11900,0.0061
2015-03-27,0.006,0.0088,0.006,0.0088,65500,0.0088
2015-03-26,0.006,0.006,0.006,0.006,8200,0.006
2015-03-25,0.0057,0.006,0.0057,0.006,21200,0.006
2015-03-24,0.0005,0.006,0.0005,0.006,2500,0.006
2015-03-23,0.006,0.0093,0.006,0.006,222500,0.006
2015-03-20,0.007,0.0075,0.007,0.0075,39200,0.0075
2015-03-19,0.007,0.0075,0.007,0.007,14700,0.007
2015-03-18,0.0061,0.0093,0.0061,0.0085,66400,0.0085
2015-03-17,0.007,0.007,0.0061,0.0061,286000,0.0061
2015-03-16,0.007,0.007,0.007,0.007,400,0.007
2015-03-13,0.006,0.007,0.006,0.007,25300,0.007
2015-03-12,0.006,0.006,0.006,0.006,000,0.006
2015-03-11,0.0061,0.0062,0.006,0.006,119100,0.006
2015-03-10,0.006,0.0061,0.006,0.0061,5300,0.0061
2015-03-09,0.0061,0.0099,0.0061,0.0061,98800,0.0061
2015-03-06,0.0061,0.0089,0.0061,0.0062,182000,0.0062
2015-03-05,0.0089,0.0089,0.0061,0.0061,14800,0.0061
2015-03-04,0.0061,0.0061,0.0061,0.0061,1300,0.0061
2015-03-03,0.006,0.009,0.006,0.0061,45200,0.0061
2015-03-02,0.0066,0.0066,0.0065,0.0065,20800,0.0065
2015-02-27,0.0065,0.0099,0.0065,0.0065,27300,0.0065
2015-02-26,0.0061,0.0061,0.0061,0.0061,25000,0.0061
2015-02-25,0.006,0.007,0.006,0.0061,2300,0.0061
2015-02-24,0.006,0.0071,0.0055,0.0061,156900,0.0061
2015-02-23,0.0063,0.0063,0.0063,0.0063,36000,0.0063
2015-02-20,0.006,0.00805,0.006,0.0075,16400,0.0075
2015-02-19,0.0071,0.0071,0.0061,0.0061,4300,0.0061
2015-02-18,0.0061,0.01,0.0061,0.0061,15900,0.0061
2015-02-17,0.01,0.01,0.006,0.007,52000,0.007
2015-02-16,0.0114,0.0114,0.0114,0.0114,000,0.0114
2015-02-13,0.0061,0.0114,0.0061,0.0114,71200,0.0114
2015-02-12,0.0061,0.0065,0.0061,0.00615,37900,0.00615
2015-02-11,0.0061,0.0061,0.0061,0.0061,37900,0.0061
2015-02-10,0.0059,0.0061,0.0059,0.0061,73900,0.0061
2015-02-09,0.0059,0.008,0.0059,0.008,20000,0.008
2015-02-06,0.0066,0.0066,0.0058,0.0058,2600,0.0058
2015-02-05,0.0066,0.0066,0.0066,0.0066,4200,0.0066
2015-02-04,0.0058,0.0099,0.0058,0.0099,114700,0.0099
2015-02-03,0.006,0.006,0.006,0.006,4400,0.006
2015-02-02,0.0056,0.006,0.0056,0.006,1400,0.006
2015-01-30,0.0057,0.0057,0.0057,0.0057,13400,0.0057
2015-01-29,0.0057,0.0057,0.0057,0.0057,1300,0.0057
2015-01-28,0.0056,0.0099,0.0056,0.0099,1700,0.0099
2015-01-27,0.0056,0.0099,0.0055,0.0057,121300,0.0057
2015-01-26,0.0056,0.0056,0.0056,0.0056,20100,0.0056
2015-01-23,0.0056,0.0056,0.0056,0.0056,10900,0.0056
2015-01-22,0.0056,0.0056,0.0056,0.0056,2800,0.0056
2015-01-21,0.0061,0.0061,0.0061,0.0061,4500,0.0061
2015-01-20,0.0059,0.01,0.0056,0.0058,94700,0.0058
2015-01-19,0.0059,0.0059,0.0059,0.0059,000,0.0059
2015-01-16,0.0054,0.0059,0.0054,0.0059,27800,0.0059
2015-01-15,0.0085,0.0085,0.0054,0.0054,442500,0.0054
2015-01-14,0.0075,0.0085,0.0075,0.0085,20600,0.0085
2015-01-13,0.0054,0.0085,0.0054,0.0075,51700,0.0075
2015-01-12,0.0075,0.0085,0.0052,0.0085,495700,0.0085
2015-01-09,0.0075,0.0075,0.0051,0.0075,45900,0.0075
2015-01-08,0.0075,0.0075,0.0074,0.0075,49800,0.0075
2015-01-07,0.0045,0.0075,0.0045,0.0075,38000,0.0075
2015-01-06,0.0045,0.0075,0.0045,0.0047,275100,0.0047
2015-01-05,0.005,0.0114,0.0048,0.0114,24100,0.0114
2015-01-02,0.0054,0.0054,0.005,0.0051,1600,0.0051
2015-01-01,0.0054,0.0054,0.0054,0.0054,000,0.0054
2014-12-31,0.0045,0.0115,0.0045,0.0054,595600,0.0054
2014-12-30,0.008,0.0085,0.006,0.0061,159300,0.0061
2014-12-29,0.0045,0.0115,0.0045,0.008,437100,0.008
2014-12-26,0.008,0.008,0.008,0.008,34000,0.008
2014-12-25,0.008,0.008,0.008,0.008,000,0.008
2014-12-24,0.008,0.0115,0.008,0.008,30100,0.008
2014-12-23,0.006,0.0081,0.006,0.008,29800,0.008
2014-12-22,0.01,0.0115,0.0084,0.0115,92600,0.0115
2014-12-19,0.01,0.0101,0.01,0.01,17400,0.01
